epoch,accuracy,loss,val_accuracy,val_loss
0,0.765500009059906,0.6603909730911255,0.8737499713897705,0.29955747723579407
1,0.8464999794960022,0.3887758255004883,0.8924999833106995,0.2777533233165741
2,0.8870000243186951,0.3092481791973114,0.7124999761581421,0.8696907758712769
3,0.9035000205039978,0.29907703399658203,0.8462499976158142,0.44931620359420776
4,0.9150000214576721,0.25355005264282227,0.8987500071525574,0.31447067856788635
5,0.9190000295639038,0.23483145236968994,0.9024999737739563,0.3066757917404175
6,0.9244999885559082,0.21156449615955353,0.9012500047683716,0.3643300235271454
7,0.9340000152587891,0.19030576944351196,0.8974999785423279,0.33140772581100464
8,0.9409999847412109,0.18825514614582062,0.8612499833106995,0.5382775664329529
9,0.9484999775886536,0.15783973038196564,0.8700000047683716,0.5484766960144043
